Timestamp,Giới tính của bạn:,Độ tuổi của bạn:,Trình độ học vấn cao nhất:,Tình trạng việc làm chính:,"Thu nhập bình quân tháng theo Hợp đồng lao động của bạn là bao nhiêu? (Vui lòng điền tổng thu nhập trước khi khấu trừ các loại Bảo hiểm (BHXH, BHYT, BHTN) và Thuế TNCN)","Số người phụ thuộc (con nhỏ, cha mẹ già...) đủ điều kiện giảm trừ gia cảnh:","Tôi tin rằng với các quy định quản lý thuế hiện nay, hành vi gian lận hoặc trốn thuế sẽ dễ dàng bị phát hiện và xử lý nghiêm. - HUMAN-ENF1","Tôi tin rằng Nhà nước, cơ quan thuế có đủ khả năng và công nghệ để phát hiện, xử lý nghiêm các hành vi trốn thuế. - HUMAN-ENF2","Các thủ tục khai báo thuế VÀ/HOẶC quy trình làm việc với cơ quan thuế đơn giản, tiện lợi, nhanh chóng hơn so với trước đây. - HUMAN-FAC1","So với trước đây, tôi thấy cách tính thuế và các bậc thuế trong phương án mới đơn giản, dễ hiểu và dễ thực hiện hơn. - HUMAN-FAC2","Tôi tin rằng Nhà nước, cơ quan thuế sẽ thực thi chính sách mới một cách khách quan, công tâm và đối xử bình đẳng với mọi người nộp thuế.  - HUMAN-TRU1",Tôi thấy mức thuế tôi phải đóng theo phương án mới là công bằng (người thu nhập như tôi đóng mức này là hợp lý). - HUMAN-TRU2,"Tôi tin tưởng số tiền thuế tôi đóng sẽ được Nhà nước sử dụng hiệu quả để cải thiện dịch vụ công (y tế, đường xá...). - HUMAN-TRU3","Tôi thấy Nhà nước đã giải thích rõ ràng, minh bạch về lý do và mục tiêu của việc sửa đổi thuế lần này. - HUMAN-TRU4","Sau khi xem xét các quyền lợi và nghĩa vụ, bạn có ủng hộ và tuân thủ chính sách mới hiện nay? - HUMAN-OUT1"
1/9/2026 11:10,Nữ,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,3 người,7,6,5,6,6,6,6,6,7
1/9/2026 11:10,Nữ,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,4 người trở lên,8,8,8,9,8,10,7,7,10
1/9/2026 11:11,Nữ,50 - 54,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,3 người,6,6,1,6,5,6,6,6,6
1/9/2026 11:12,Nam,40 - 49,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 70 - 102 triệu VNĐ,4 người trở lên,8,8,3,9,8,8,8,8,8
1/9/2026 11:12,Nam,40 - 49,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 70 - 102 triệu VNĐ,1 người,4,3,1,7,3,6,5,6,6
1/9/2026 11:13,Nữ,30 - 39,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,1 người,6,6,1,7,5,6,6,6,6
1/9/2026 11:14,Nữ,50 - 54,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Trên 102 triệu VNĐ,4 người trở lên,8,8,5,8,8,7,7,7,7
1/9/2026 11:15,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,1 người,7,8,4,8,5,7,5,6,6
1/9/2026 11:15,Nam,40 - 49,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,2 người,6,7,2,7,5,5,5,6,5
1/9/2026 11:16,Nam,50 - 54,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Trên 102 triệu VNĐ,4 người trở lên,2,1,1,6,2,3,1,5,4
1/9/2026 11:17,Nữ,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,2 người,6,6,7,6,5,6,5,6,6
1/9/2026 11:18,Nam,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,1 người,6,7,1,9,5,4,4,5,5
1/9/2026 11:19,Nam,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,4 người trở lên,9,9,8,9,8,9,9,8,8
1/9/2026 11:20,Nam,30 - 39,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 70 - 102 triệu VNĐ,3 người,8,8,5,7,7,5,5,6,6
1/9/2026 11:20,Nam,40 - 49,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Trên 102 triệu VNĐ,3 người,7,7,7,8,7,7,7,7,7
1/9/2026 11:21,Nữ,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,0 người,6,5,5,7,6,7,5,6,6
1/9/2026 11:22,Nữ,50 - 54,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,3 người,7,6,6,6,7,7,7,7,7
1/9/2026 11:22,Nam,40 - 49,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,2 người,6,7,7,6,6,6,6,7,7
1/9/2026 11:23,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,2 người,7,7,2,7,7,7,7,7,7
1/9/2026 11:24,Nam,40 - 49,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 70 - 102 triệu VNĐ,4 người trở lên,4,5,2,6,3,3,1,3,1
1/9/2026 12:36,Nữ,30 - 39,Sau Đại học,"Khu vực phi chính thức (Lao động tự do, không có HĐLĐ)",Từ 48 - 70 triệu VNĐ,0 người,8,8,3,8,3,1,8,6,7
1/9/2026 14:35,Nữ,30 - 39,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,2 người,7,7,4,7,7,6,5,7,6
1/9/2026 14:35,Nam,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,1 người,7,8,2,6,6,6,5,5,6
1/9/2026 14:36,Nữ,50 - 54,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 70 - 102 triệu VNĐ,4 người trở lên,3,3,1,6,1,1,1,1,1
1/9/2026 14:37,Nữ,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,2 người,6,6,5,6,6,6,6,6,6
1/9/2026 14:37,Nữ,40 - 49,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,2 người,8,9,5,7,6,7,7,7,7
1/9/2026 14:38,Nam,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,1 người,6,6,3,7,7,7,5,7,7
1/9/2026 14:39,Nữ,40 - 49,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 70 - 102 triệu VNĐ,4 người trở lên,8,8,6,7,7,4,5,5,5
1/9/2026 14:39,Nữ,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,3 người,6,7,5,7,6,6,6,6,6
1/9/2026 14:51,Nam,30 - 39,Sau Đại học,"Khu vực phi chính thức (Lao động tự do, không có HĐLĐ)",Từ 70 - 102 triệu VNĐ,0 người,6,7,5,8,6,3,6,8,6
1/9/2026 15:15,Nữ,30 - 39,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 70 - 102 triệu VNĐ,2 người,4,4,1,6,3,2,1,5,4
1/9/2026 15:16,Nữ,40 - 49,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 70 - 102 triệu VNĐ,3 người,6,7,4,8,6,6,5,7,6
1/9/2026 15:16,Nữ,55 - 64,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Trên 102 triệu VNĐ,4 người trở lên,8,8,9,9,7,8,8,8,7
1/9/2026 15:17,Nữ,40 - 49,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,2 người,5,5,2,6,5,4,5,5,4
1/9/2026 15:18,Nam,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,2 người,7,7,5,7,5,6,5,7,6
1/9/2026 15:22,Nam,50 - 54,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 70 - 102 triệu VNĐ,3 người,7,7,5,8,6,6,6,7,7
1/9/2026 15:23,Nữ,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,0 người,4,4,2,8,5,5,4,6,5
1/9/2026 15:24,Nữ,50 - 54,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,4 người trở lên,10,10,7,7,8,7,8,8,8
1/9/2026 15:25,Nam,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,0 người,8,8,5,9,10,10,9,9,10
1/9/2026 15:25,Nữ,30 - 39,Cao đẳng,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,1 người,7,7,5,6,5,5,5,5,6
1/9/2026 15:26,Nam,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,2 người,8,8,8,8,8,8,8,8,8
1/9/2026 15:26,Nam,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,2 người,9,9,3,10,8,8,6,8,8
1/9/2026 15:27,Nữ,55 - 64,Sau Đại học,"Khác (Về hưu, nội trợ, sinh viên)",Từ 48 - 70 triệu VNĐ,2 người,6,6,1,6,5,6,5,6,6
1/9/2026 15:30,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,1 người,8,8,5,8,5,6,5,6,6
1/9/2026 15:31,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,3 người,6,6,3,7,5,6,5,5,6
1/9/2026 15:32,Nam,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,0 người,8,9,9,10,8,8,9,10,10
1/9/2026 16:25,Nam,55 - 64,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Dưới 12 triệu VNĐ,0 người,7,7,6,7,7,1,5,7,7
1/9/2026 16:50,Nữ,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,2 người,5,10,5,5,2,3,2,5,5
1/9/2026 16:56,Nam,30 - 39,Đại học,"Khác (Về hưu, nội trợ, sinh viên)",Dưới 12 triệu VNĐ,0 người,5,5,5,10,10,5,5,5,5
1/9/2026 17:12,Nam,30 - 39,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,0 người,10,10,10,10,10,10,10,10,10
1/9/2026 17:12,Nam,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,1 người,9,9,8,10,8,8,10,9,9
1/9/2026 18:35,Nam,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Dưới 12 triệu VNĐ,0 người,8,7,9,5,7,7,7,6,7
1/9/2026 18:52,Nữ,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,0 người,7,7,4,8,7,7,5,5,7
1/9/2026 18:57,Nam,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,2 người,6,10,5,4,3,7,4,4,5
1/9/2026 18:58,Nam,25 - 29,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Dưới 12 triệu VNĐ,0 người,10,10,10,10,10,10,10,10,10
1/9/2026 19:09,Nam,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,0 người,7,9,8,6,5,3,9,3,4
1/9/2026 19:12,Nữ,40 - 49,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,3 người,3,8,8,4,4,3,7,5,5
1/9/2026 19:19,Nữ,55 - 64,Sau Đại học,"Khác (Về hưu, nội trợ, sinh viên)",Từ 12 - 18 triệu VNĐ,2 người,2,2,2,1,2,2,2,2,2
1/10/2026 7:22,Nữ,40 - 49,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Trên 102 triệu VNĐ,2 người,10,8,8,8,10,10,6,8,8
1/10/2026 9:06,Nam,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,1 người,10,10,10,10,10,9,9,10,10
1/10/2026 13:52,Nữ,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 18 - 23 triệu VNĐ,0 người,7,7,5,8,8,9,9,9,10
1/10/2026 13:52,Nữ,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,6,5,4,7,5,6,6,7,7
1/10/2026 13:57,Nam,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 18 - 23 triệu VNĐ,0 người,8,9,10,10,8,9,8,8,10
1/11/2026 9:35,Nam,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,6,6,7,7,7,8,5,5,8
1/11/2026 10:21,Nữ,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,7,8,8,8,5,8,6,6,8
1/11/2026 21:19,Nam,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 18 - 23 triệu VNĐ,0 người,4,5,5,7,5,8,5,6,8
1/11/2026 21:20,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,0 người,6,8,5,6,6,7,6,7,7
1/12/2026 11:29,Nữ,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,7,7,5,8,5,8,5,7,8
1/12/2026 11:30,Nữ,25 - 29,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 18 - 23 triệu VNĐ,0 người,4,4,6,7,5,8,5,5,8
1/12/2026 11:31,Nữ,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,8,8,10,10,9,10,8,8,10
1/12/2026 11:32,Nam,30 - 39,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,0 người,5,7,7,9,5,6,5,7,7
1/12/2026 11:33,Nữ,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,8,8,7,9,9,9,7,9,9
1/12/2026 11:34,Nam,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,0 người,5,5,5,7,5,7,5,5,7
1/12/2026 11:37,Nam,25 - 29,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,0 người,7,7,8,8,6,7,6,7,7
1/12/2026 11:38,Nữ,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Dưới 12 triệu VNĐ,0 người,7,7,5,7,7,7,5,5,8
1/12/2026 11:39,Nam,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,1 người,2,2,6,7,2,5,5,6,5
1/12/2026 11:40,Nữ,40 - 49,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,2 người,8,9,9,10,8,10,9,9,10
1/12/2026 11:41,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 18 - 23 triệu VNĐ,0 người,7,7,7,9,7,8,5,7,8
1/12/2026 11:44,Nam,40 - 49,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 70 - 102 triệu VNĐ,3 người,7,8,9,9,9,8,7,7,9
1/12/2026 11:47,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,7,7,9,9,9,9,5,6,9
1/12/2026 11:47,Nam,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,3,3,5,6,4,5,5,5,5
1/12/2026 12:11,Nam,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,1 người,4,4,5,6,4,5,3,4,5
1/12/2026 12:12,Nữ,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 18 - 23 triệu VNĐ,0 người,7,7,9,9,8,9,7,9,9
1/12/2026 12:13,Nam,40 - 49,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 70 - 102 triệu VNĐ,1 người,6,6,8,8,6,7,6,7,7
1/12/2026 12:14,Nữ,50 - 54,Sau Đại học,"Khu vực phi chính thức (Lao động tự do, không có HĐLĐ)",Trên 102 triệu VNĐ,3 người,2,2,3,5,1,1,1,3,1
1/12/2026 12:20,Nam,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,7,7,8,10,9,10,8,8,10
1/12/2026 12:21,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 18 - 23 triệu VNĐ,0 người,4,5,5,6,5,6,5,5,6
1/12/2026 12:22,Nam,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,0 người,7,8,7,7,6,8,6,8,8
1/12/2026 12:23,Nam,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,8,8,9,9,8,9,10,9,10
1/12/2026 12:23,Nữ,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,7,7,8,8,6,7,6,6,7
1/12/2026 14:12,Nam,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,7,8,8,8,5,8,5,8,8
1/12/2026 14:13,Nữ,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Dưới 12 triệu VNĐ,0 người,8,8,8,9,8,8,7,7,8
1/12/2026 14:14,Nam,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Dưới 12 triệu VNĐ,0 người,5,5,6,7,5,8,6,6,7
1/12/2026 14:15,Nam,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,7,7,8,7,8,8,8,7,8
1/12/2026 14:16,Nam,30 - 39,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,2 người,7,7,5,8,6,5,5,6,5
1/12/2026 14:28,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,7,7,5,8,7,7,6,7,7
1/12/2026 14:29,Nữ,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,1 người,9,8,8,9,7,8,7,7,8
1/12/2026 14:33,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 18 - 23 triệu VNĐ,0 người,8,8,7,8,6,8,6,6,8
1/12/2026 15:39,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 18 - 23 triệu VNĐ,0 người,8,8,7,7,6,7,6,6,7
1/12/2026 15:42,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 18 - 23 triệu VNĐ,0 người,4,4,5,7,5,6,6,6,6
1/12/2026 15:42,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,0 người,7,7,8,8,7,7,8,7,8
1/12/2026 15:43,Nữ,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,2 người,8,8,6,7,6,7,5,7,7
1/12/2026 16:48,Nữ,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,1 người,6,6,8,7,7,7,5,6,7
1/12/2026 16:49,Nam,40 - 49,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 70 - 102 triệu VNĐ,4 người trở lên,7,7,8,8,6,7,5,7,7
1/12/2026 16:50,Nữ,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,9,9,10,10,9,10,8,8,9
1/12/2026 17:17,Nam,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,7,8,8,9,8,10,8,8,9
1/12/2026 18:05,Nam,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,7,7,8,10,9,10,8,8,10
1/12/2026 18:28,Nam,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,0 người,9,9,8,9,8,8,7,7,8
1/12/2026 18:29,Nữ,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,7,7,7,8,7,9,8,8,8
1/12/2026 18:30,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 18 - 23 triệu VNĐ,1 người,4,5,6,7,7,6,4,6,7
1/12/2026 21:27,Nam,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 18 - 23 triệu VNĐ,0 người,9,8,8,8,7,7,6,7,8
1/12/2026 21:28,Nữ,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Dưới 12 triệu VNĐ,0 người,7,7,8,9,7,10,8,8,10
1/12/2026 21:29,Nữ,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,3,3,5,6,5,6,4,6,6
1/12/2026 21:36,Nam,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,1 người,8,8,5,7,5,8,5,7,8
1/12/2026 21:37,Nam,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 18 - 23 triệu VNĐ,1 người,4,5,5,7,5,7,5,6,7
1/12/2026 21:38,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,0 người,9,9,8,9,9,7,7,7,7
1/12/2026 21:41,Nam,30 - 39,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,1 người,7,8,8,8,5,6,5,6,6
1/12/2026 21:43,Nữ,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,8,9,8,8,9,10,10,9,10
1/12/2026 21:43,Nữ,25 - 29,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,2 người,7,7,8,8,6,8,6,7,8
1/12/2026 21:47,Nam,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,6,6,8,9,8,8,5,7,8
1/12/2026 21:48,Nam,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 18 - 23 triệu VNĐ,0 người,6,7,7,9,7,9,9,9,9
1/12/2026 21:49,Nam,40 - 49,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,3 người,4,4,5,5,5,4,5,6,5
1/12/2026 21:50,Nữ,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,2 người,6,6,8,8,6,7,5,6,6
1/12/2026 21:51,Nữ,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 70 - 102 triệu VNĐ,2 người,8,8,9,9,5,5,5,6,5
1/12/2026 22:35,Nữ,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,1 người,6,6,7,7,6,6,6,6,6
1/12/2026 23:15,Nữ,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,1 người,8,8,8,8,7,6,6,5,7
1/13/2026 6:45,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 18 - 23 triệu VNĐ,0 người,6,6,5,7,6,7,5,6,7
1/13/2026 8:14,Nam,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,7,8,7,7,8,9,7,7,8
1/13/2026 8:15,Nữ,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 18 - 23 triệu VNĐ,0 người,6,7,5,8,7,7,7,7,8
